,Batch,TEOS,NH3,H2O,EtOH,PSD,STD,,(PSD-100)^2,STD
Init1,0,1,5,94,0,5.68,1.25,,8896.2624,1.25
Init2,0,1,10,89,0,21.46,4.86,,6168.5316,4.86
Init3,0,1,20,79,0,39.54,7.45,,3655.4116,7.45
Init4,0,1,30,69,0,55.38,10.5,,1990.9444,10.5
Init5,0,5,10,85,0,6.84,1.76,,8678.7856,1.76
Init6,0,5,20,75,0,9.18,2.28,,8248.2724,2.28
Init7,0,5,30,65,0,11.2,3.15,,7885.44,3.15
Init8,0,10,10,80,0,9.83,2.75,,8130.6289,2.75
Init9,0,10,20,70,0,10.6,2.36,,7992.36,2.36
Init10,0,10,30,60,0,17.9,5.05,,6740.41,5.05
Init11,0,10,40,50,0,21.5,6.52,,6162.25,6.52
Init12,0,10,40,50,0,21.5,6.52,,6162.25,6.52
Init13,0,20,80,100,0,20.5,8.31,,6320.25,8.31
Init15,0,1,1,98,0,4.3,0.44,,9158.49,0.44
Init16,0,4,1,95,0,3.54,1.14,,9304.5316,1.14
Init17,0,10,1,89,0,2.56,0.8,,9494.5536,0.8
Init18,0,20,1,79,0,2.26,0.59,,9553.1076,0.59
Init19,0,30,1,69,0,2.15,0.53,,9574.6225,0.53
Init22,0,10,5,85,0,8.63,3.25,,8348.4769,3.25
Init23,0,20,5,75,0,9.36,4.07,,8215.6096,4.07
Init24,0,30,5,65,0,43.7,34.4,,3169.69,34.4
Init26,0,20,10,70,0,21.29,12.1,,6195.2641,12.1
Init29,0,1.02,32.91,45.77,20.3,15.91,4.176,,7071.1281,4.176
Init31,0,32.47,29.25,4.04,34.24,517,61.94,,173889,61.94
Init32,0,30.85,31.13,12.49,25.54,454.4,58.09,,125599.36,58.09
Init33,0,17.03,9.61,34.46,38.9,853.9,241.2,,568365.21,241.2
Init34,0,13.64,55.98,27.95,2.43,153.8,45.36,,2894.44,45.36
Init35,0,34.48,5.17,27.7,32.66,1547,299.4,,2093809,299.4
Init38,0,9.11,35.42,31.42,24.05,451.9,108.3,,123833.61,108.3
D1,1,4.44,31.95,34.83,28.78,372.4,134.8,,74201.76,134.8
D2,1,16.5,25.15,43.48,14.87,203.6,41.32,,10732.96,41.32
D2,1,31.55,19.77,31.18,17.49,791.4,171.5,,478033.96,171.5
D2,1,33.49,22.24,28.18,16.09,924.4,208.6,,679635.36,208.6
D3,2,26.88,8.59,64.14,0.39,15.6,8.3,,7123.36,8.3
D3,2,34.7,3.25,60.01,2.04,3.5,1.8,,9312.25,1.8
1,2,5.3252,70.3309,17.9582,6.3857,114.9,23.39,,222.01,23.39
2,2,23.7067,62.1602,10.694,3.4391,467.1,84.34,,134762.41,84.34
3,3,5.6371,14.6181,58.9805,20.7643,154,36.87,,2916,36.87
4,3,13.722,27.7255,46.0721,12.4804,152.4,47.22,,2745.76,47.22
6,3,1.7315,53.7769,35.5328,8.9588,9.6,1.5,,8172.16,1.5
8,3,7.426,71.5304,13.3553,7.6883,253.1,52.22,,23439.61,52.22
9,4,6.5,21.1,48.2,24.2,209.5,44.09,,11990.25,44.09
10,4,6.7,20,68.5,4.8,8.3,2.37,,8408.89,2.37
11,4,2,45.4,50.6,2,14.81,3.86,,7257.3361,3.86
12,4,1.53,90.12,7.95,0.4,24.51,7.71,,5698.7401,7.71