stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
(trichloromethyl)benzene,(trichloromethyl)-benzene,98-07-7,C7H5Cl3,195,1.173,166.6,1.557,53.67,6.9,2.14,-4,220,1.85,3.68,0.2,0.2054,18.7984,0,0,3.2973
"(1Z,5Z)-cycloocta-1,5-diene","1,5-cyclooctadiene",111-78-4,C8H12,108,0.88,122.9,1.493,35.73,2.38,0.17,-69,148,1,2.98,8.87,0,15.2165,0.4711,0,0.9742
"(2E,4E)-2,4-hexadiene","trans,trans-2,4-hexadiene",5194-51-4,C6H10,82,0.727,112.9,1.456,30.7,2.22,0.36,-79,79,0.37,3.05,225.18,0,14.9023,0.0451,0,1.3634
(dichloromethyl)benzene,(dichloromethyl)-benzene,98-87-3,C7H6Cl2,161,1.25,128.8,1.55,41.04,6.9,2.05,-16,205,1.99,2.94,0.24,0.8684,16.7703,0,0.0081,3.8876
"(E)-1,3-pentadiene",1-trans-3-pentadiene,2004-70-8,C5H8,68,0.683,99.7,1.43,25.77,2.32,0.68,-87,42,0.3,2.47,702.08,0,12.8734,0.0397,0,1.8346
(E)-2-butenenitrile,(e)-2-butenenitrile,627-26-9,C4H5N,67,0.823,81.6,1.416,20.47,28.1,4.5,-52,122,0.5,0.18,18.14,0.469,10.1085,1.3074,0,2.9768
(Z)-3-hexene,cis-3-hexene,592-47-2,C6H12,84,0.678,124.1,1.394,29.67,2.06,0.34,-138,66,0.33,3.35,318.26,0,14.8632,0.1899,0,0.5181
"1,1,1-trichloroethane",glycerol,71-55-6,C2H3Cl3,133,1.338,99.7,1.438,26.17,7.25,1.9,-30,74,0.39,2.45,73.59,0.2623,13.0416,0,0,2.1596
"1,1,1-trichlorotrifluoroethane","1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,C2Cl3F3,187,1.566,119.7,1.36,26.41,2.44,0.74,14,46,0.27,3.17,504.26,0.0287,14.8904,0,0,1.0688
"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",79-27-6,C2H2Br4,346,2.967,116.5,1.628,41.34,7,1.57,0,244,1.76,2.98,0.06,1.486,15.3049,0,0.319,2.4911
"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane",79-34-5,C2H2Cl4,168,1.59,105.6,1.494,30.71,8.42,1.33,-44,144,0.72,2.46,5.48,1.6129,13.4114,0,0.3646,1.6833
"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,C2Cl3F3,187,1.564,119.8,1.356,26.16,2.41,0.86,-35,48,0.28,3.2,509.96,0.0058,14.9261,0,0,0.9368
"1,1,2-trichloroethane","1,1,2-trichloroethane",79-00-5,C2H3Cl3,133,1.443,92.4,1.471,25.84,7.28,1.36,-37,114,0.63,1.95,19.58,1.7766,11.7278,0,0.0155,2.6467
"1,1-dichloroethane","1,1-dichloroethane",75-34-3,C2H4Cl2,99,1.176,84.1,1.416,21.12,10,2.35,-97,57,0.38,1.73,161.66,0.7211,10.9207,0,0,2.5644
"1,1-dichloroethene","1,1-dichloroethylene",75-35-4,C2H2Cl2,97,1.175,82.5,1.425,21.1,4.67,1.25,-123,32,0.26,2.15,757.54,0.5073,10.7452,0,0,1.5707
"1,1-diethoxyethane","1,1-diethoxyethane",105-57-7,C6H14O2,118,0.826,143.1,1.381,33.22,3.8,1.22,-100,103,0.75,2.02,11.17,0,16.2302,1.4596,0,1.4419
"1,1-diethoxymethane",diethoxymethane,462-95-3,C5H12O2,104,0.831,125.3,1.373,28.55,2.53,1.25,-66,87,0.6,1.63,36.03,0,14.4681,1.5242,0,1.7109
"1,2,3,4-tetrachlorobenzene","1,2,3,4-tetrachlorobenzene",634-66-2,C6H2Cl4,216,1.858,116.2,1.58,38.67,3.2,1.9,46,254,1.9,3.86,0.17,0.7118,18.3469,0,0,2.0511
"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",488-23-3,C10H14,134,0.901,149,1.515,44.92,2.59,0.39,-4,205,1.29,3.85,1.82,0,18.8124,0.0451,0,1.629
"1,2,3-propanetriol",glycerol,56-81-5,C3H8O3,92,1.26,73.1,1.475,20.56,47,2.56,18,290,32.53,-1.27,0.01,1.392,8.3081,2.465,0.5226,3.8766
"1,2,3-tribromopropane",indane,496-11-7,C3H5Br3,281,2.402,116.9,1.582,39.01,6.45,1.54,17,220,1.26,3.18,4.05,0.0015,16.2717,0.0006,0,1.7931
"1,2,3-trichloropropane","1,2,3-trichloropropane",96-18-4,C3H5Cl3,147,1.394,105.8,1.486,30.36,7.9,1.67,-14,157,0.93,1.97,3.23,1.6918,13.2696,0,0,3.845
"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene",120-82-1,C6H3Cl3,181,1.454,124.8,1.572,41.04,2.24,1.26,17,214,1.56,3.47,0.59,0.9561,16.6983,0,0,2.426
"1,2-diaminoethane","1,2-diaminoethane",107-15-3,C2H8N2,60,0.899,66.9,1.457,18.19,14.2,1.92,9,116,0.92,-1.26,19.85,1.2989,7.562,1.7249,0,3.1424
"1,2-dibromoethane","1,2-dibromoethane",106-93-4,C2H4Br2,188,2.18,86.2,1.538,26.95,4.75,1.04,10,132,0.67,1.87,13.35,1.0244,11.7691,0,0,3.2311
"1,2-dichlorobenzene","1,2-dichlorobenzene",95-50-1,C6H4Cl2,147,1.306,112.6,1.551,35.94,9.93,2.14,-17,181,1.12,2.95,2.17,0.3986,15.3751,0,0,2.8864
"1,2-dichloroethane","1,2-dichloroethane",107-06-2,C2H4Cl2,99,1.253,79,1.445,21.01,10.36,1.83,-35,84,0.52,1.34,222.09,1.2021,10.4996,0,0,3.5413
"1,2-dichloropropane","1,2-dichloropropane",78-87-5,C3H6Cl2,113,1.155,97.8,1.439,25.73,8.93,1.85,-100,96,0.53,1.96,55.66,0.533,12.8567,0,0,3.08
"1,2-difluorobenzene",o-difluorobenzene,367-11-3,C6H4F2,114,1.15,99.2,1.443,26.3,14.26,2.53,92,94,0.6,2.29,65.91,0.4044,13.2044,0,0,2.8209
"1,2-dimethoxybenzene","1,2-dimethoxybenzene",91-16-7,C8H10O2,138,1.084,127.5,1.532,39.5,4.09,1.35,23,206,2.28,1.81,0.12,0.076,16.7628,1.0994,0,4.616
"1,2-dimethoxyethane","1,2-dimethoxyethane",110-71-4,C4H10O2,90,0.869,103.7,1.38,24,7.2,1.71,-58,85,0.42,0.33,83.42,0,12.4399,1.8467,0,1.8566
"1,2-dimethylbenzene","1,2-dimethylbenzene",95-47-6,C8H10,106,0.88,120.6,1.505,35.8,2.57,0.45,-25,144,0.87,3.01,12.27,0.0005,15.7194,0,0,2.1157
"1,2-diphenylethane","1,1'-(1,2-ethanediyl)bis-benzene",103-29-7,C14H14,182,0.966,188.7,1.57,61.93,2.38,0,52,285,6.74,4.3,0,0.0257,23.4542,0,0,4.6004
"1,2-propanediol",propyleneglycol,57-55-6,C3H8O2,76,1.036,73.4,1.431,19.01,32,2.27,-60,187,10.82,-0.59,0.22,1.1692,8.5231,1.9315,0.5211,2.2691
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,8-cineole",470-82-6,C10H18O,154,0.923,167.2,1.458,45.63,4.84,1.58,2,176,1.75,3.02,0.54,0,18.3021,0.8641,0,0.5839
"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene",108-67-8,C9H12,120,0.864,139.2,1.499,40.86,2.4,0.1,-45,165,1.12,3.66,3.87,0,17.8634,0.0096,0,1.7384
"1,3-cyclohexadiene","1,3-cyclohexadiene",592-57-4,C6H8,80,0.847,94.6,1.473,26.55,2.66,0.38,-89,80,0.53,2.37,131.57,0,12.5042,0.0853,0,1.4269
"1,3-dibromobenzene","1,3-dibromobenzene",108-36-1,C6H4Br2,236,1.952,120.9,1.606,41.68,5,1.37,-7,219,1.98,3.34,0.15,0.6513,16.3801,0,0,3.1732
"1,3-dichlorobenzene","1,3-dichlorobenzene",541-73-1,C6H4Cl2,147,1.288,114.1,1.546,36.14,5,1.68,-25,173,1.18,3.04,2.34,0.6618,15.3813,0,0,2.8826
"1,3-dichloropropane","1,3-dichloropropane",142-28-9,C3H6Cl2,113,1.183,95.5,1.449,25.62,9.51,2.09,-100,120,0.62,1.76,16.97,0.2327,13.1923,0,0,3.767
"1,3-difluorobenzene",m-difluorobenzene,372-18-9,C6H4F2,114,1.147,99.5,1.437,26.06,5.24,1.55,82,83,0.62,2.29,86.75,0.6442,13.0309,0,0,2.8939
"1,3-dimethylbenzene","1,3-dimethylbenzene",108-38-3,C8H10,106,0.86,123.5,1.497,36.14,2.4,0.31,-48,139,0.88,3.12,11.57,0.0009,15.9719,0,0,2.0279
"1,3-dimethyltetrahydropyrimidin-2(1H)-one","1,3-dimethyltetrahydropyrimidin-2(1h)-one",7226-23-5,C6H12N2O,128,1.064,120.5,1.488,34.71,36.12,4.17,-20,246,1.79,0.36,0.16,0,14.9718,1.6577,0,2.1763
"1,3-dioxolan-2-one","1,3-dioxolan-2-one",96-49-1,C3H4O3,88,1.321,66.7,1.42,16.87,89.78,4.51,34,261,1.84,-0.93,0.06,1.1013,7.8023,2.033,0,4.6182
"1,4-cyclohexadiene","1,4-cyclohexadiene",628-41-1,C6H8,80,0.851,94.2,1.473,26.41,2.26,0.13,-49,89,0.55,2.35,122.44,0,12.4477,0.1753,0,1.3648
"1,4-dibromobenzene","1,4-dibrombenzene",106-37-6,C6H4Br2,236,1.832,128.8,1.574,42.51,2.57,0,89,219,2.03,3.26,0.16,0.7761,16.2036,0,0,3.254
"1,4-dibromobutane","1,4-dibromobutane",110-52-1,C4H8Br2,216,1.826,118.2,1.519,35.89,9.4,2.02,-20,198,1.19,2.5,0.86,0.2184,16.2013,0.0023,0,3.8328
"1,4-dichlorobenzene","1,4-dichlorobenzene",106-46-7,C6H4Cl2,147,1.283,114.6,1.528,35.28,2.41,0,53,174,1.23,2.97,2.25,0.7581,15.2854,0,0,2.9965
"1,4-dichlorobutane","1,4-dichlorobutane",110-56-5,C4H8Cl2,127,1.139,111.5,1.455,30.26,9.65,2.22,-38,153,0.88,2.17,6.05,0.1534,15.2814,0.0093,0,3.7784
"1,4-difluorobenzene",p-difluorobenzene,540-36-3,C6H4F2,114,1.166,97.9,1.441,25.84,2.26,0,-13,89,0.65,2.2,73.14,0.7198,12.9481,0,0,3.0202
"1,4-dimethylbenzene","1,4-dimethylbenzene",106-42-3,C8H10,106,0.866,122.6,1.495,35.75,2.3,0,13,138,0.88,3.12,12.06,0,15.9324,0,0,1.99
"1,5-dichloropentane","1,5-dichloro-pentane",628-76-2,C5H10Cl2,141,1.1,128.2,1.457,34.92,9.92,2.33,-72,180,1.15,2.62,1.31,0.0979,17.3095,0.0284,0,3.5259
1-bromo-2-chloroethane,1-bromo-2-chloroethane,107-04-0,C2H4BrCl,143,1.689,84.9,1.491,24.59,7.14,1.21,-18,107,0.57,1.61,39.56,0.936,11.331,0,0,3.2225
1-bromo-2-methylpropane,isobutylbromide,78-77-3,C4H9Br,137,1.253,109.4,1.435,28.53,7.18,1.9,-118,91,0.41,2.64,72.64,0.0479,13.8579,0.006,0,1.555
1-bromo-3-methylbutane,1-bromo-3-methylbutane,107-82-4,C5H11Br,151,1.213,124.5,1.442,32.95,6.05,1.83,-112,119,0.54,3.13,20.17,0.0647,15.8206,0.0039,0,1.5247
1-bromobutane,1-bromobutane,109-65-9,C4H9Br,137,1.275,107.5,1.439,28.28,7.16,2.14,-112,103,0.44,2.7,54.27,0.0515,14.2176,0.0069,0,1.51
1-bromododecane,1-bromododecane,143-15-7,C12H25Br,249,1.038,240.1,1.458,65.52,4.07,1.95,-10,276,3.78,6.95,0.01,0.0526,30.1299,0.0075,0,1.4609
1-bromoheptane,"pyrido(2,3-b)pyrazine",629-04-9,C7H15Br,179,1.14,157.1,1.451,42.3,5.33,2.16,-58,178,5.82,-0.73,0,0.8643,12.6846,2.1567,0,4.323
1-bromohexane,1-bromohexane,111-25-1,C6H13Br,165,1.175,140.5,1.448,37.61,5.82,2.06,-85,154,0.74,3.77,5.51,0.0524,18.1787,0.0064,0,1.4894
1-bromonaphthalene,1-bromonaphthalene,90-11-9,C10H7Br,207,1.484,139.5,1.658,51.39,4.83,1.55,-1,281,3.31,3.6,0.03,0.1804,18.796,0,0,4.08
1-bromooctane,1-bromooctane,111-83-1,C8H17Br,193,1.112,173.7,1.453,46.94,5,1.98,-55,200,1.29,4.84,0.55,0.0523,22.175,0.0064,0,1.4856
1-bromopentane,1-bromopentane,110-53-2,C5H11Br,151,1.219,123.9,1.445,32.98,6.32,2.2,-95,129,0.57,3.24,17.46,0.0506,16.1976,0.0086,0,1.4925
1-bromopropane,1-bromopropane,106-94-5,C3H7Br,123,1.435,85.7,1.355,18.68,8.44,2.12,-110,71,0.35,2.16,162.6,0.0505,12.2197,0.0055,0,1.656
"1-chloro-2,3-epoxypropane",(chloromethyl)-oxirane,106-89-8,C3H5ClO,93,1.175,78.8,1.438,20.68,23,2.02,-57,116,0.85,0.51,12.42,0.6324,10.3444,0.9679,0,3.8511
1-chloro-2-methylbenzene,1-chloro-2-methylbenzene,95-49-8,C7H7Cl,127,1.082,117,1.527,35.97,4.45,1.56,-34,159,0.99,2.98,5.89,0.0838,15.6158,0,0,2.8883
1-chloro-2-methylpropane,1-chloro-2-methyl-propane,513-36-0,C4H9Cl,93,0.881,105.1,1.398,25.36,6.49,2,-131,69,0.35,2.46,181.98,0.0344,13.3766,0.012,0,1.4856
1-chloro-3-methylbutane,isoamylchloride,107-84-6,C5H11Cl,107,0.872,122.2,1.409,30.22,6.4,1.92,-104,100,0.45,2.88,63.67,0.0485,15.1074,0.0169,0,1.6199
1-chlorobutane,1-chlorobutane,109-69-3,C4H9Cl,93,0.886,104.5,1.402,25.44,7.39,1.9,-123,78,0.38,2.53,133.3,0.0326,13.7533,0.0158,0,1.4586
1-chlorohexane,1-chlorohexane,544-10-5,C6H13Cl,121,0.878,137.4,1.42,34.77,5.82,1.94,-94,134,0.61,3.59,12.98,0.0324,17.7388,0.0155,0,1.4205
1-chloronaphthalene,1-chloronaphthalene,90-13-1,C10H7Cl,163,1.191,136.5,1.633,48.76,5,1.55,-8,259,2.64,3.47,0.13,0.1731,18.3725,0,0,3.9726
1-chlorooctane,1-chlorooctane,111-85-3,C8H17Cl,149,0.875,169.9,1.431,43.98,5.05,2,-58,182,1.02,4.63,1.31,0.0347,21.7181,0.0151,0,1.4077
1-chloropentane,1-chloropentane,543-59-9,C5H11Cl,107,0.882,120.9,1.412,30.07,6.6,2.16,-99,105,0.49,3.06,41.8,0.0315,15.7285,0.0176,0,1.4313
1-chloropropane,1-chloropropane,540-54-5,C3H7Cl,79,0.9,87.3,1.388,20.59,8.53,2.06,-122,46,0.3,1.97,436.56,0.0285,11.7497,0.0161,0,1.6003
1-dodecanol,dodecanol,112-53-8,C12H26O,186,0.831,224.3,1.441,59.26,6.5,1.6,26,259,31.06,5.23,0,0.7257,26.8387,1.1708,0.3219,0.9238
1-ethyl-4-methylbenzene,1-ethyl-4-methylbenzene,622-96-8,C9H12,120,0.866,138.7,1.493,40.32,2.24,0,-62,162,1.11,3.63,4.2,0.0004,17.8142,0,0,1.7985
1-hexanethiol,1-hexanethiol,111-31-9,C6H14S,118,0.844,140.1,1.449,37.61,4.44,1.55,-81,153,0.83,3.48,5.86,0.2495,17.3923,0.69,0,1.5608
1-hexene,1-hexene,592-41-6,C6H12,84,0.668,126,1.388,29.72,2.05,0.46,-138,63,0.34,3.39,301.12,0,15.1583,0.1052,0,0.743
1-iodobutane,1-iodobutane,542-69-8,C4H9I,184,1.616,113.9,1.498,33.37,6.35,2.1,-103,130,0.59,2.9,11.28,0.0555,15.0128,0,0,1.5486
1-iodohexane,1-iodo-hexane,638-45-9,C6H13I,212,1.437,147.6,1.493,42.89,5.37,1.94,-75,180,0.92,3.93,1.27,0.0566,18.9627,0,0,1.4976
1-iodopentane,1-iodopentane,628-17-1,C5H11I,198,1.512,131,1.496,38.26,5.81,1.85,-86,155,0.67,3.37,4.02,0.0564,17.0067,0,0,1.5077
1-iodopropane,1-iodopropane,107-08-4,C3H7I,170,1.743,97.5,1.505,28.93,7.09,2.01,-101,102,0.47,2.37,34.24,0.0549,13.0244,0,0,1.6896
1-methoxy-2-methylbenzene,1-methoxy-2-methylbenzene,578-58-5,C8H10O,122,0.985,124,1.505,36.79,3.57,1,-34,171,1.31,2.88,1.76,0.0268,16.3488,0.4505,0,3.2676
1-methoxy-3-methylbenzene,3-methylanisole,100-84-5,C8H10O,122,0.972,125.7,1.513,37.78,4.08,1.17,-47,177,1.42,2.69,1.49,0.0326,16.3927,0.5494,0,3.353
1-methoxy-4-methylbenzene,4-methylanisole,104-93-8,C8H10O,122,0.97,125.9,1.512,37.79,4.03,1.2,-50,175,1.41,2.71,1.57,0.0351,16.424,0.5562,0,3.3309
1-methylnaphthalene,1-methylnaphthalene,90-12-0,C11H10,142,1.001,142.1,1.618,49.77,2.92,0.37,-22,242,2.39,3.41,0.26,0.0217,18.4574,0,0,3.597
1-nitropropane,1-nitropropane,108-03-2,C3H7NO2,89,1.001,89,1.401,21.64,23.24,3.6,-108,131,0.52,1.35,30.16,0.7839,11.043,0.9056,0,2.9625
1-octene,octene,111-66-0,C8H16,112,0.742,151.2,1.409,37.38,2.11,0.39,-102,121,0.59,4.45,27.01,0,19.1355,0.1044,0,0.7388
1-pentanethiol,1-pentanethiol,110-66-7,C5H12S,104,0.843,123.6,1.447,33,4.55,1.5,-76,125,0.65,2.95,18.74,0.2464,15.3942,0.6893,0,1.5559
1-pentene,pentene,109-67-1,C5H10,70,0.643,109.1,1.371,24.76,2.1,0.5,-162,30,0.26,2.86,972.54,0,13.2071,0.1065,0,0.7529
1-phenyl-1-propanone,propiophenone,93-55-0,C9H10O,134,1.009,133,1.527,40.89,15.5,2.6,19,218,2.11,2.02,0.25,0.0885,16.5759,1.3154,0,3.8382
"2,2,3-trimethylbutane","2,2,3-trimethylbutane",464-06-2,C7H16,100,0.69,145.2,1.389,34.38,1.93,0,-25,81,0.32,3.79,239.46,0,15.9158,0,0,0.1505
"2,2-dichloropropane","2,2-dichloropropane",594-20-7,C3H6Cl2,113,1.092,103.5,1.412,25.75,11.63,2.35,-34,70,0.43,2.16,58.86,0.0374,13.2001,0,0,2.8637
"2,2-dimethylbutane","2,2-dimethylbutane",75-83-2,C6H14,86,0.649,132.8,1.369,29.96,1.87,0,-98,50,0.27,3.48,575,0,14.6108,0,0,0.1164
"2,2-dimethylpentane","2,2-dimethylpentane",590-35-2,C7H16,100,0.674,148.8,1.382,34.64,1.92,0,-125,79,0.35,4.02,167.78,0,16.6274,0,0,0.1149
"2,2-dimethylpropane",neopentane,463-82-1,C5H12,72,0.613,117.7,1.351,25.41,1.91,0,-17,9,0.22,3.08,1553.28,0,13.0871,0,0,0.1315
"2,3,4,5,6-pentafluorotoluene",n-methylpentafluorobenzene,771-56-2,C7H3F5,182,1.436,126.8,1.402,30.88,1.93,2.01,-30,118,0.62,3.31,36.12,0.0108,17.2901,0,0,1.8738
"2,3-dimethyl-1,3-butadiene","2,3-dimethyl-1,3-butadiene",513-81-5,C6H10,82,0.726,113.1,1.439,29.73,2.1,0,-76,69,0.32,2.86,377.71,0,14.009,0.029,0,1.6102
"2,3-dimethylpentane","2,3-dimethylpentane",565-59-3,C7H16,100,0.694,144.3,1.392,34.36,1.94,0,-135,90,0.34,4,186.02,0,16.4749,0,0,0.1318
"2,4,6-trimethyl-1,3,5-trioxane",paraldehyde,123-63-7,C6H12O3,132,0.994,133,1.42,33.65,13.9,1.44,13,124,2.12,1.07,0.48,0,14.5981,2.4724,0,3.9787
"2,4,6-trimethylpyridine","2,4,6-collidine",108-75-8,C8H11N,121,0.917,132.2,1.498,38.74,12.02,2.04,43,171,1.44,2.32,1.03,0.0111,16.7165,0.8775,0,2.5076
"2,4-dimethyl-3-pentanone","2,4-dimethyl-3-pentanone",565-80-0,C7H14O,114,0.799,142.9,1.399,34.57,17.07,2.76,-69,124,0.61,2.03,11.47,0,15.8574,1.3097,0,1.446
"2,4-dimethylaniline","2,4-dimethylaniline",95-68-1,C8H11N,121,0.979,123.8,1.562,40.13,4.9,1.4,-15,216,2.66,1.95,0.27,1.152,15.4136,0.5479,0.12,3.0389
"2,4-dimethylpentane","2,4-dimethylpentane",108-08-7,C7H16,100,0.673,148.9,1.382,34.69,1.91,0,-119,81,0.36,4.09,155.22,0,16.8045,0,0,0.1239
"2,4-dimethylpyridine","2,4-dimethylpyridine",108-47-4,C7H9N,107,0.931,115.2,1.501,33.92,9.6,2.3,-60,157,1.17,1.67,2.76,0.0268,14.6777,0.9299,0,2.7887
"2,4-pentanedione",acetylacetone,123-54-6,C5H8O2,100,0.98,102.2,1.452,27.56,23.1,3.03,-23,140,1.03,-0.33,2.4,0.2185,11.5012,2.5761,0,4.3186
"2,6-dimethyl-4-heptanone","2,6-dimethyl-4-heptanone",108-83-8,C9H18O,142,0.807,176.3,1.412,43.86,9.91,2.66,-42,168,0.99,3.15,2.57,0.0044,19.8579,1.26,0,1.513
"2,6-dimethylpyridine","2,6-dimethylpyridine",108-48-5,C7H9N,107,0.925,115.8,1.497,33.89,7.33,1.68,-6,144,1.16,1.8,3.9,0.0383,14.701,0.8316,0,2.7976
